state,district,tehsil,village_en,lgd_village_code
Bihar,Gaya,Bodh Gaya,Adham khap,256551
Bihar,Gaya,Bodh Gaya,Agani,256489
Bihar,Gaya,Bodh Gaya,Amar Bigha,256502
Bihar,Gaya,Bodh Gaya,Antiya,256515
Bihar,Gaya,Bodh Gaya,Arjun Bigha,256554
Bihar,Gaya,Bodh Gaya,Asni,256544
Bihar,Gaya,Bodh Gaya,Atiya,256580
Bihar,Gaya,Bodh Gaya,Aunra,256558
Bihar,Gaya,Bodh Gaya,Babhni,256582
Bihar,Gaya,Bodh Gaya,Badar Khap,256525
Bihar,Gaya,Bodh Gaya,Bagahi Khurd,256609
Bihar,Gaya,Bodh Gaya,Bagdaha,256500
Bihar,Gaya,Bodh Gaya,Bagha Khap,256527
Bihar,Gaya,Bodh Gaya,Bairi chak,256533
Bihar,Gaya,Bodh Gaya,Bajraha,256521
Bihar,Gaya,Bodh Gaya,Bakraur,256509
Bihar,Gaya,Bodh Gaya,Banarsi Bigha,256606
Bihar,Gaya,Bodh Gaya,Bara,256564
Bihar,Gaya,Bodh Gaya,Baraini,256530
Bihar,Gaya,Bodh Gaya,Barawan,256488
Bihar,Gaya,Bodh Gaya,Basari,256592
Bihar,Gaya,Bodh Gaya,Bataspur,256593
Bihar,Gaya,Bodh Gaya,Bela Dih,256531
Bihar,Gaya,Bodh Gaya,Bhaiya Bigha,256498
Bihar,Gaya,Bodh Gaya,Bhalua,256512
Bihar,Gaya,Bodh Gaya,Bhanwarbar,256563
Bihar,Gaya,Bodh Gaya,Bhusia,256487
Bihar,Gaya,Bodh Gaya,Birhut,256492
Bihar,Gaya,Bodh Gaya,Budhaul,256596
Bihar,Gaya,Bodh Gaya,Chhanchh,256602
Bihar,Gaya,Bodh Gaya,Dadpur,256546
Bihar,Gaya,Bodh Gaya,Dhamare,256547
Bihar,Gaya,Bodh Gaya,Dhanawan,256505
Bihar,Gaya,Bodh Gaya,Dhanawan,256537
Bihar,Gaya,Bodh Gaya,Dhandhawa,256514
Bihar,Gaya,Bodh Gaya,Diprahiya,256524
Bihar,Gaya,Bodh Gaya,Dirawan,256484
Bihar,Gaya,Bodh Gaya,Dulra,256520
Bihar,Gaya,Bodh Gaya,Dumri,256482
Bihar,Gaya,Bodh Gaya,Dumri,256595
Bihar,Gaya,Bodh Gaya,Ehiyapur,256490
Bihar,Gaya,Bodh Gaya,Gangahar,256581
Bihar,Gaya,Bodh Gaya,Gapha Kalan,256616
Bihar,Gaya,Bodh Gaya,Gapha Khurd,256617
Bihar,Gaya,Bodh Gaya,Gean Khap,256556
Bihar,Gaya,Bodh Gaya,Ghogharia,256594
Bihar,Gaya,Bodh Gaya,Gohati,256557
Bihar,Gaya,Bodh Gaya,Gortorwa,256599
Bihar,Gaya,Bodh Gaya,Gothu,256585
Bihar,Gaya,Bodh Gaya,Guri,256523
Bihar,Gaya,Bodh Gaya,Harli Kalan,256598
Bihar,Gaya,Bodh Gaya,Harli Khurd,256613
Bihar,Gaya,Bodh Gaya,Hathiar,256589
Bihar,Gaya,Bodh Gaya,Ilara,256518
Bihar,Gaya,Bodh Gaya,Inguna,256561
Bihar,Gaya,Bodh Gaya,Intara,256549
Bihar,Gaya,Bodh Gaya,Jahan Bigha,256503
Bihar,Gaya,Bodh Gaya,Jamari,256493
Bihar,Gaya,Bodh Gaya,Jani Bigha,256619
Bihar,Gaya,Bodh Gaya,Jarahara,256612
Bihar,Gaya,Bodh Gaya,Jhikatiya,256534
Bihar,Gaya,Bodh Gaya,Jindapur,256569
Bihar,Gaya,Bodh Gaya,Jodhpur,256604
Bihar,Gaya,Bodh Gaya,Kachanpur,256501
Bihar,Gaya,Bodh Gaya,Kanhaul,256608
Bihar,Gaya,Bodh Gaya,Karman Dhab,256529
Bihar,Gaya,Bodh Gaya,Kazi chak,256583
Bihar,Gaya,Bodh Gaya,Kewal,256601
Bihar,Gaya,Bodh Gaya,Khaira Bara,256618
Bihar,Gaya,Bodh Gaya,Khajawati,256584
Bihar,Gaya,Bodh Gaya,Khap,256532
Bihar,Gaya,Bodh Gaya,Kharanti,256504
Bihar,Gaya,Bodh Gaya,Kharanti,256548
Bihar,Gaya,Bodh Gaya,Kharauna,256545
Bihar,Gaya,Bodh Gaya,Kishunpur Jarhari,256611
Bihar,Gaya,Bodh Gaya,Kolhaura,256513
Bihar,Gaya,Bodh Gaya,Kolkha,256536
